
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-12


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.0
Magnitude Max:, 9.0
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, 20.0
D9-95 Max (sec):, 60.0
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
11.0,0.01152337,0.02296764,0.00578153,0.00365454,0.00150453,0.00216075,0.00754197,0.00455348,0.00444341,0.00468863,0.00277414,0.01016687,0.00976136,0.01051927,0.00981688,0.0098212,0.00762675,0.00981423,0.00794164,0.0086316,0.01002339,0.01012988,0.00483729,0.01383479,0.01792071,0.01393168,0.00427726,0.00987879,0.01451141,0.01808698,0.02344162,0.01111717,0.01822385,0.02248316,0.00906488,0.00040935,0.01317777,0.0292213,0.0153379,0.00722688,0.03224295,0.0104437,0.01560782,0.00196735,0.01609601,0.00045975,0.00812075,0.00920281,0.00161867,0.01518941,0.0062972,0.0288091,0.0089034,0.02822742,0.02149013,0.00923343,0.00115812,0.01522872,0.01886043,0.02748038,0.01580256,0.03179092,0.03319309,0.00641853,0.01734342,0.01137013,0.0295495,0.0050746,0.00560084,0.00455938,0.01502803,0.00650146,0.00633478,0.00027088,0.00119573,0.00514458,0.01616609,0.02191014,0.00299218,0.01762965,0.00930957,0.02015717,0.00411493,0.00759912,0.00275577,0.00602366,0.02041513,0.00732452,0.00174297,0.02442794,0.01602016,0.00792002,0.01080649,0.00509832,0.01267404,0.01146827,0.0127419,0.01260848,0.0188003,0.00741993,0.00821177,0.00555452,0.00607104
12.0,0.00927953,0.0182344,0.00472238,0.00326673,0.00111171,0.00174079,0.00618847,0.00364877,0.00346174,0.0035252,0.00266778,0.00807297,0.00776721,0.00837642,0.00771382,0.00865289,0.00590783,0.00773618,0.00620876,0.00719073,0.00808367,0.00883595,0.003956,0.00980835,0.01398555,0.01015152,0.00331478,0.00778424,0.01125947,0.01382857,0.01747034,0.00803116,0.01570336,0.0177719,0.00653137,0.00032606,0.01042458,0.02315242,0.01116269,0.0061505,0.02570395,0.00748477,0.01131757,0.00148015,0.0119578,0.00038978,0.0057409,0.00707369,0.00104201,0.01476961,0.00478693,0.02166233,0.00712976,0.02186305,0.01650743,0.0064607,0.00087901,0.0121782,0.0144118,0.02192153,0.01286397,0.0232631,0.02646757,0.0047644,0.01528054,0.00915218,0.02346586,0.00400254,0.00652632,0.00344449,0.01133702,0.00513084,0.00536982,0.00022238,0.00090949,0.00419442,0.0128636,0.01865752,0.00275416,0.01497628,0.0069778,0.01595477,0.00291775,0.00869597,0.00223446,0.00681821,0.01628397,0.0066446,0.00137488,0.02127369,0.01396222,0.00653519,0.01011415,0.00371452,0.00993276,0.01060197,0.01077311,0.01058119,0.01609267,0.00628695,0.00848187,0.00430399,0.00601833
13.0,0.00735586,0.01415218,0.00382335,0.00247601,0.00085118,0.00144348,0.00616855,0.00290679,0.0024929,0.00303595,0.00196941,0.00630947,0.0060814,0.0064801,0.00579052,0.00683881,0.00461004,0.00597346,0.00494221,0.00574352,0.00644719,0.00705061,0.00330213,0.00760565,0.01080955,0.00778291,0.00302662,0.00570644,0.0087449,0.01059014,0.01349243,0.00607415,0.01131659,0.0141058,0.00478632,0.0002656,0.00823884,0.01824951,0.00807924,0.00548644,0.01916868,0.00592288,0.00922134,0.00119914,0.00904717,0.00034457,0.00386855,0.00600687,0.00077884,0.01290219,0.00385596,0.0159215,0.00615576,0.0160729,0.0128961,0.00445379,0.00061425,0.01006433,0.0102755,0.01695531,0.01070246,0.01762293,0.01942977,0.00326385,0.01107858,0.00700755,0.01809872,0.00355012,0.00664939,0.00283681,0.00887454,0.0039056,0.00400318,0.00018986,0.00071872,0.00352331,0.01109939,0.01452478,0.00209495,0.0115762,0.00510911,0.01265018,0.00212354,0.00772212,0.00182212,0.00617878,0.01107761,0.00608094,0.00107718,0.01802699,0.01210047,0.00591793,0.00920935,0.00262403,0.00789106,0.00916998,0.0092964,0.00908586,0.0139621,0.00553915,0.0078933,0.00366766,0.00560937
14.0,0.00589962,0.01125008,0.00309381,0.00193735,0.00067962,0.00122191,0.0045196,0.00231887,0.00175931,0.00257959,0.00131778,0.00504469,0.00485694,0.00498141,0.00461567,0.00595042,0.00370879,0.00460655,0.00393088,0.00498058,0.00513441,0.00599972,0.00280351,0.00597166,0.0082906,0.00618424,0.00213641,0.00426509,0.0075185,0.00809864,0.01078674,0.00451104,0.00883752,0.0116341,0.00371165,0.00024486,0.00677411,0.01600852,0.00599135,0.0047837,0.01468141,0.0047777,0.00731394,0.00096466,0.00717565,0.00029989,0.00294529,0.00508207,0.0007324,0.01047173,0.00325062,0.01167916,0.00529772,0.01110867,0.00959097,0.00308361,0.00057792,0.00832642,0.00842959,0.01351688,0.00914096,0.01312382,0.01510541,0.0023958,0.00815505,0.00534258,0.01395192,0.00312478,0.00604079,0.00254198,0.00675733,0.00315099,0.00289531,0.00014894,0.00060265,0.00299862,0.00889781,0.01081936,0.00150853,0.00821607,0.00353529,0.01087104,0.00161698,0.00691606,0.00142058,0.00487517,0.00869915,0.00481276,0.00082802,0.01423934,0.01051501,0.00535455,0.00823075,0.00199641,0.00640388,0.00787961,0.00801659,0.00799877,0.01219068,0.00503859,0.00737152,0.0032062,0.00502415
15.0,0.00482445,0.00917973,0.00253551,0.00158399,0.00056248,0.00103946,0.0030073,0.00186629,0.00131073,0.00217329,0.00106136,0.00403006,0.00392275,0.00388029,0.00386011,0.00503797,0.00312034,0.00371876,0.00315653,0.00422794,0.00417917,0.00512114,0.00241392,0.00445838,0.00630808,0.00489162,0.0015865,0.00362796,0.00627387,0.00626277,0.0085983,0.00338911,0.0066737,0.00975797,0.00310233,0.00022987,0.005941,0.01384217,0.00472122,0.00411795,0.01106702,0.00390096,0.00580149,0.0008446,0.00573289,0.00025628,0.00238684,0.00417541,0.00063922,0.00901219,0.00258875,0.00920689,0.00441737,0.00854805,0.0074031,0.00218357,0.00051258,0.00695321,0.0067365,0.01053121,0.00734233,0.00955652,0.01206329,0.00185242,0.00647626,0.00446263,0.01110093,0.00267533,0.00501891,0.00229708,0.00511354,0.00268834,0.00222726,0.00012494,0.00050808,0.00257457,0.00674713,0.00865675,0.00112406,0.00626254,0.00253868,0.00997042,0.00128665,0.00615568,0.00114312,0.00428328,0.0071209,0.00385789,0.00066412,0.01201263,0.00909156,0.00468063,0.00725726,0.00157149,0.00525584,0.0066541,0.00692489,0.00728446,0.01059165,0.0048817,0.00662186,0.00334376,0.00442431
20.0,0.00212712,0.00399005,0.00113398,0.00079133,0.00029492,0.00063153,0.00146182,0.00086977,0.00068873,0.00094615,0.000616,0.00178595,0.00165805,0.00167439,0.00170152,0.00210178,0.00160813,0.00164273,0.00157198,0.00190076,0.00181829,0.00223144,0.00132022,0.00177044,0.00338022,0.00201599,0.00078074,0.00148997,0.00243972,0.00304306,0.00329817,0.00144436,0.00246052,0.0037037,0.00123855,0.00012982,0.00246459,0.0051817,0.00200184,0.00163819,0.00409352,0.00171626,0.00228965,0.00043868,0.00324158,0.00014349,0.00123121,0.00141439,0.00030558,0.00332593,0.001117,0.00325031,0.00186737,0.0031508,0.00264623,0.00110858,0.00028188,0.00305362,0.0024941,0.00408797,0.00370406,0.00326041,0.00521698,0.00086597,0.00239521,0.00180118,0.00446552,0.00140888,0.00222426,0.00126747,0.00216168,0.00125334,0.00088799,7.389e-05,0.00024733,0.00137224,0.00256279,0.00313946,0.00057031,0.00286973,0.00115935,0.0063072,0.00059172,0.00247955,0.00058736,0.00135305,0.00301749,0.00153108,0.00034903,0.0060664,0.00406915,0.00225378,0.0035716,0.00078955,0.00259853,0.00372648,0.00329005,0.00377283,0.00479131,0.00262155,0.00414846,0.002067,0.00276575

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-12 Horizontal-1 pSa (g),RSN-12 Horizontal-2 pSa (g),RSN-12 Vertical pSa (g),RSN-13 Horizontal-1 pSa (g),RSN-13 Horizontal-2 pSa (g),RSN-13 Vertical pSa (g),RSN-14 Horizontal-1 pSa (g),RSN-14 Horizontal-2 pSa (g),RSN-14 Vertical pSa (g),RSN-15 Horizontal-1 pSa (g),RSN-15 Horizontal-2 pSa (g),RSN-15 Vertical pSa (g),RSN-137 Horizontal-1 pSa (g),RSN-137 Horizontal-2 pSa (g),RSN-137 Vertical pSa (g),RSN-140 Horizontal-1 pSa (g),RSN-140 Horizontal-2 pSa (g),RSN-140 Vertical pSa (g),RSN-141 Horizontal-1 pSa (g),RSN-141 Horizontal-2 pSa (g),RSN-141 Vertical pSa (g),RSN-142 Horizontal-1 pSa (g),RSN-142 Horizontal-2 pSa (g),RSN-142 Vertical pSa (g),RSN-570 Horizontal-1 pSa (g),RSN-570 Horizontal-2 pSa (g),RSN-570 Vertical pSa (g),RSN-573 Horizontal-1 pSa (g),RSN-573 Horizontal-2 pSa (g),RSN-573 Vertical pSa (g),RSN-574 Horizontal-1 pSa (g),RSN-574 Horizontal-2 pSa (g),RSN-574 Vertical pSa (g),RSN-576 Horizontal-1 pSa (g),RSN-576 Horizontal-2 pSa (g),RSN-576 Vertical pSa (g),RSN-577 Horizontal-1 pSa (g),RSN-577 Horizontal-2 pSa (g),RSN-577 Vertical pSa (g),RSN-578 Horizontal-1 pSa (g),RSN-578 Horizontal-2 pSa (g),RSN-578 Vertical pSa (g),RSN-579 Horizontal-1 pSa (g),RSN-579 Horizontal-2 pSa (g),RSN-579 Vertical pSa (g),RSN-581 Horizontal-1 pSa (g),RSN-581 Horizontal-2 pSa (g),RSN-581 Vertical pSa (g),RSN-582 Horizontal-1 pSa (g),RSN-582 Horizontal-2 pSa (g),RSN-582 Vertical pSa (g),RSN-583 Horizontal-1 pSa (g),RSN-583 Horizontal-2 pSa (g),RSN-583 Vertical pSa (g),RSN-584 Horizontal-1 pSa (g),RSN-584 Horizontal-2 pSa (g),RSN-584 Vertical pSa (g),RSN-826 Horizontal-1 pSa (g),RSN-826 Horizontal-2 pSa (g),RSN-826 Vertical pSa (g),RSN-832 Horizontal-1 pSa (g),RSN-832 Horizontal-2 pSa (g),RSN-832 Vertical pSa (g),RSN-833 Horizontal-1 pSa (g),RSN-833 Horizontal-2 pSa (g),RSN-833 Vertical pSa (g),RSN-834 Horizontal-1 pSa (g),RSN-834 Horizontal-2 pSa (g),RSN-834 Vertical pSa (g),RSN-835 Horizontal-1 pSa (g),RSN-835 Horizontal-2 pSa (g),RSN-835 Vertical pSa (g),RSN-836 Horizontal-1 pSa (g),RSN-836 Horizontal-2 pSa (g),RSN-836 Vertical pSa (g),RSN-837 Horizontal-1 pSa (g),RSN-837 Horizontal-2 pSa (g),RSN-837 Vertical pSa (g),RSN-838 Horizontal-1 pSa (g),RSN-838 Horizontal-2 pSa (g),RSN-838 Vertical pSa (g),RSN-839 Horizontal-1 pSa (g),RSN-839 Horizontal-2 pSa (g),RSN-839 Vertical pSa (g),RSN-840 Horizontal-1 pSa (g),RSN-840 Horizontal-2 pSa (g),RSN-840 Vertical pSa (g),RSN-842 Horizontal-1 pSa (g),RSN-842 Horizontal-2 pSa (g),RSN-842 Vertical pSa (g),RSN-843 Horizontal-1 pSa (g),RSN-843 Horizontal-2 pSa (g),RSN-843 Vertical pSa (g),RSN-844 Horizontal-1 pSa (g),RSN-844 Horizontal-2 pSa (g),RSN-844 Vertical pSa (g),RSN-845 Horizontal-1 pSa (g),RSN-845 Horizontal-2 pSa (g),RSN-845 Vertical pSa (g),RSN-846 Horizontal-1 pSa (g),RSN-846 Horizontal-2 pSa (g),RSN-846 Vertical pSa (g),RSN-847 Horizontal-1 pSa (g),RSN-847 Horizontal-2 pSa (g),RSN-847 Vertical pSa (g),RSN-849 Horizontal-1 pSa (g),RSN-849 Horizontal-2 pSa (g),RSN-849 Vertical pSa (g),RSN-850 Horizontal-1 pSa (g),RSN-850 Horizontal-2 pSa (g),RSN-850 Vertical pSa (g),RSN-851 Horizontal-1 pSa (g),RSN-851 Horizontal-2 pSa (g),RSN-851 Vertical pSa (g),RSN-852 Horizontal-1 pSa (g),RSN-852 Horizontal-2 pSa (g),RSN-852 Vertical pSa (g),RSN-853 Horizontal-1 pSa (g),RSN-853 Horizontal-2 pSa (g),RSN-853 Vertical pSa (g),RSN-854 Horizontal-1 pSa (g),RSN-854 Horizontal-2 pSa (g),RSN-854 Vertical pSa (g),RSN-856 Horizontal-1 pSa (g),RSN-856 Horizontal-2 pSa (g),RSN-856 Vertical pSa (g),RSN-857 Horizontal-1 pSa (g),RSN-857 Horizontal-2 pSa (g),RSN-857 Vertical pSa (g),RSN-858 Horizontal-1 pSa (g),RSN-858 Horizontal-2 pSa (g),RSN-858 Vertical pSa (g),RSN-859 Horizontal-1 pSa (g),RSN-859 Horizontal-2 pSa (g),RSN-859 Vertical pSa (g),RSN-860 Horizontal-1 pSa (g),RSN-860 Horizontal-2 pSa (g),RSN-860 Vertical pSa (g),RSN-861 Horizontal-1 pSa (g),RSN-861 Horizontal-2 pSa (g),RSN-861 Vertical pSa (g),RSN-862 Horizontal-1 pSa (g),RSN-862 Horizontal-2 pSa (g),RSN-862 Vertical pSa (g),RSN-863 Horizontal-1 pSa (g),RSN-863 Horizontal-2 pSa (g),RSN-863 Vertical pSa (g),RSN-864 Horizontal-1 pSa (g),RSN-864 Horizontal-2 pSa (g),RSN-864 Vertical pSa (g),RSN-865 Horizontal-1 pSa (g),RSN-865 Horizontal-2 pSa (g),RSN-865 Vertical pSa (g),RSN-866 Horizontal-1 pSa (g),RSN-866 Horizontal-2 pSa (g),RSN-866 Vertical pSa (g),RSN-867 Horizontal-1 pSa (g),RSN-867 Horizontal-2 pSa (g),RSN-867 Vertical pSa (g),RSN-868 Horizontal-1 pSa (g),RSN-868 Horizontal-2 pSa (g),RSN-868 Vertical pSa (g),RSN-869 Horizontal-1 pSa (g),RSN-869 Horizontal-2 pSa (g),RSN-869 Vertical pSa (g),RSN-870 Horizontal-1 pSa (g),RSN-870 Horizontal-2 pSa (g),RSN-870 Vertical pSa (g),RSN-871 Horizontal-1 pSa (g),RSN-871 Horizontal-2 pSa (g),RSN-871 Vertical pSa (g),RSN-872 Horizontal-1 pSa (g),RSN-872 Horizontal-2 pSa (g),RSN-872 Vertical pSa (g),RSN-873 Horizontal-1 pSa (g),RSN-873 Horizontal-2 pSa (g),RSN-873 Vertical pSa (g),RSN-874 Horizontal-1 pSa (g),RSN-874 Horizontal-2 pSa (g),RSN-874 Vertical pSa (g),RSN-875 Horizontal-1 pSa (g),RSN-875 Horizontal-2 pSa (g),RSN-875 Vertical pSa (g),RSN-876 Horizontal-1 pSa (g),RSN-876 Horizontal-2 pSa (g),RSN-876 Vertical pSa (g),RSN-877 Horizontal-1 pSa (g),RSN-877 Horizontal-2 pSa (g),RSN-877 Vertical pSa (g),RSN-878 Horizontal-1 pSa (g),RSN-878 Horizontal-2 pSa (g),RSN-878 Vertical pSa (g),RSN-880 Horizontal-1 pSa (g),RSN-880 Horizontal-2 pSa (g),RSN-880 Vertical pSa (g),RSN-881 Horizontal-1 pSa (g),RSN-881 Horizontal-2 pSa (g),RSN-881 Vertical pSa (g),RSN-882 Horizontal-1 pSa (g),RSN-882 Horizontal-2 pSa (g),RSN-882 Vertical pSa (g),RSN-883 Horizontal-1 pSa (g),RSN-883 Horizontal-2 pSa (g),RSN-883 Vertical pSa (g),RSN-884 Horizontal-1 pSa (g),RSN-884 Horizontal-2 pSa (g),RSN-884 Vertical pSa (g),RSN-885 Horizontal-1 pSa (g),RSN-885 Horizontal-2 pSa (g),RSN-885 Vertical pSa (g),RSN-886 Horizontal-1 pSa (g),RSN-886 Horizontal-2 pSa (g),RSN-886 Vertical pSa (g),RSN-887 Horizontal-1 pSa (g),RSN-887 Horizontal-2 pSa (g),RSN-887 Vertical pSa (g),RSN-888 Horizontal-1 pSa (g),RSN-888 Horizontal-2 pSa (g),RSN-888 Vertical pSa (g),RSN-889 Horizontal-1 pSa (g),RSN-889 Horizontal-2 pSa (g),RSN-889 Vertical pSa (g),RSN-890 Horizontal-1 pSa (g),RSN-890 Horizontal-2 pSa (g),RSN-890 Vertical pSa (g),RSN-891 Horizontal-1 pSa (g),RSN-891 Horizontal-2 pSa (g),RSN-891 Vertical pSa (g),RSN-892 Horizontal-1 pSa (g),RSN-892 Horizontal-2 pSa (g),RSN-892 Vertical pSa (g),RSN-893 Horizontal-1 pSa (g),RSN-893 Horizontal-2 pSa (g),RSN-893 Vertical pSa (g),RSN-894 Horizontal-1 pSa (g),RSN-894 Horizontal-2 pSa (g),RSN-894 Vertical pSa (g),RSN-895 Horizontal-1 pSa (g),RSN-895 Horizontal-2 pSa (g),RSN-895 Vertical pSa (g),RSN-896 Horizontal-1 pSa (g),RSN-896 Horizontal-2 pSa (g),RSN-896 Vertical pSa (g),RSN-897 Horizontal-1 pSa (g),RSN-897 Horizontal-2 pSa (g),RSN-897 Vertical pSa (g),RSN-898 Horizontal-1 pSa (g),RSN-898 Horizontal-2 pSa (g),RSN-898 Vertical pSa (g),RSN-899 Horizontal-1 pSa (g),RSN-899 Horizontal-2 pSa (g),RSN-899 Vertical pSa (g),RSN-1144 Horizontal-1 pSa (g),RSN-1144 Horizontal-2 pSa (g),RSN-1144 Vertical pSa (g),RSN-1145 Horizontal-1 pSa (g),RSN-1145 Horizontal-2 pSa (g),RSN-1145 Vertical pSa (g),RSN-1147 Horizontal-1 pSa (g),RSN-1147 Horizontal-2 pSa (g),RSN-1147 Vertical pSa (g),RSN-1149 Horizontal-1 pSa (g),RSN-1149 Horizontal-2 pSa (g),RSN-1149 Vertical pSa (g),RSN-1151 Horizontal-1 pSa (g),RSN-1151 Horizontal-2 pSa (g),RSN-1151 Vertical pSa (g),RSN-1153 Horizontal-1 pSa (g),RSN-1153 Horizontal-2 pSa (g),RSN-1153 Vertical pSa (g),RSN-1154 Horizontal-1 pSa (g),RSN-1154 Horizontal-2 pSa (g),RSN-1154 Vertical pSa (g),RSN-1155 Horizontal-1 pSa (g),RSN-1155 Horizontal-2 pSa (g),RSN-1155 Vertical pSa (g),RSN-1156 Horizontal-1 pSa (g),RSN-1156 Horizontal-2 pSa (g),RSN-1156 Vertical pSa (g),RSN-1157 Horizontal-1 pSa (g),RSN-1157 Horizontal-2 pSa (g),RSN-1157 Vertical pSa (g),RSN-1160 Horizontal-1 pSa (g),RSN-1160 Horizontal-2 pSa (g),RSN-1160 Vertical pSa (g),RSN-1163 Horizontal-1 pSa (g),RSN-1163 Horizontal-2 pSa (g),RSN-1163 Vertical pSa (g),RSN-1164 Horizontal-1 pSa (g),RSN-1164 Horizontal-2 pSa (g),RSN-1164 Vertical pSa (g),RSN-1167 Horizontal-1 pSa (g),RSN-1167 Horizontal-2 pSa (g),RSN-1167 Vertical pSa (g),RSN-1169 Horizontal-1 pSa (g),RSN-1169 Horizontal-2 pSa (g),RSN-1169 Vertical pSa (g),RSN-1175 Horizontal-1 pSa (g),RSN-1175 Horizontal-2 pSa (g),RSN-1175 Vertical pSa (g)
0.01,0.04223897,0.05907316,0.0211,0.04812374,0.05370076,0.0306,0.09015094,0.1327487,0.0443,0.1602915,0.1819235,0.113,0.09273748,0.06826359,0.0293,0.09481566,0.1058563,0.0535,0.03254781,0.03632055,0.0257,0.02711668,0.02764613,0.0124,0.1224879,0.1541085,0.0734,0.1340646,0.1410757,0.0779,0.1187498,0.1224108,0.0905,0.1556955,0.1608753,0.108,0.1258311,0.1751736,0.0645,0.1607691,0.2427704,0.062,0.1266418,0.1642794,0.0889,0.1546355,0.1648884,0.101,0.1419559,0.1656167,0.109,0.1484509,0.1163527,0.064,0.1402406,0.1600771,0.0683,0.1552294,0.1791798,0.0426,0.1163835,0.1475636,0.0924,0.05173004,0.03783775,0.018,0.02853532,0.02774574,0.0173,0.0482282,0.05216404,0.0161,0.108659,0.1069223,0.0567,0.03551266,0.02514811,0.0131,0.1321224,0.1361847,0.0662,0.03687987,0.0449155,0.016,0.02590207,0.02755994,0.0173,0.04259568,0.04403856,0.0162,0.04850661,0.04253158,0.0101,0.05611302,0.06460641,0.0247,0.01802782,0.01386571,0.0124,0.02956309,0.03296129,0.0189,0.06394549,0.06556626,0.0207,0.0681041,0.04555138,0.0246,0.1755544,0.1548125,0.171,0.0518457,0.03971763,0.0165,0.02964088,0.01905518,0.021,0.04220848,0.03807372,0.0189,0.0515473,0.05253957,0.0259,0.07056308,0.06182997,0.017,0.04202083,0.06845919,0.0262,0.03980677,0.06215432,0.0272,0.04680562,0.04914504,0.0187,0.0823221,0.09838433,0.0633,0.05174268,0.06214837,0.0129,0.1045339,0.1096593,0.0421,0.04272676,0.03523332,0.0152,0.2756784,0.2844907,0.182,0.04264737,0.04203668,0.0135,0.03561115,0.04069088,0.0154,0.04367536,0.03259426,0.0208,0.02768804,0.03748377,0.0168,0.03739039,0.03470373,0.0132,0.04298187,0.06500787,0.0203,0.03409123,0.04667617,0.0174,0.02596101,0.03800507,0.0171,0.06338529,0.05142321,0.0128,0.05138577,0.0584601,0.0201,0.02538474,0.026673,0.0135,0.03812065,0.04680614,0.027,0.03399992,0.0428098,0.0227,0.0596073,0.05109372,0.0166,0.1271334,0.1315847,0.0862,0.2231011,0.1643273,0.164,0.1363433,0.1339298,0.112,0.03551184,0.03982354,0.0123,0.07626585,0.09018362,0.11,0.06772993,0.04470716,0.0357,0.04769756,0.04529543,0.0388,0.04312288,0.04168693,0.0409,0.07791533,0.08776636,0.0525,0.04972583,0.03601717,0.0197,0.06049194,0.04959574,0.025,0.0505002,0.04092785,0.0386,0.03714,0.02753278,0.0205,0.02536489,0.01877294,0.0129,0.03380703,0.03107834,0.0188,0.06654579,0.0427902,0.0257,0.03989579,0.04271205,0.0155,0.08225594,0.06132261,0.0403,0.028558,0.03720751,0.0133,0.04746452,0.04704657,0.0188,0.09284994,0.08061351,0.114,0.01947177,0.01257702,0.00908,0.2527137,0.1858071,0.0803,0.1023835,0.1677139,0.0684,0.01831764,0.01790878,0.0076,0.09900359,0.08728614,0.0235,0.04514546,0.05436326,0.0252,0.1009837,0.1003772,0.0483,0.02871464,0.02461673,0.00798,0.1773989,0.1320856,0.0579,0.1882695,0.1617915,0.139,0.09011549,0.08463708,0.0553,0.04363989,0.06090311,0.0365,0.05975676,0.05016512,0.0234,0.0530769,0.03803911,0.0309,0.01432899,0.01126634,0.00354
0.02,0.04232564,0.05926904,0.0215,0.04797999,0.05339608,0.0304,0.08970402,0.1321649,0.0441,0.1590504,0.1815391,0.111,0.09386414,0.06890324,0.0294,0.09523772,0.1066606,0.0536,0.03260719,0.03659821,0.0257,0.02730395,0.02766678,0.0124,0.1223557,0.1530071,0.0727,0.1331208,0.1405216,0.0765,0.118926,0.1221017,0.0885,0.1563774,0.1610326,0.106,0.1252595,0.1750389,0.0651,0.1613178,0.2432028,0.063,0.12669,0.1638445,0.0873,0.1544835,0.1644186,0.101,0.1418359,0.1649634,0.109,0.147862,0.1160443,0.0647,0.1399636,0.1591516,0.0677,0.1564163,0.1804525,0.0428,0.1171305,0.1482936,0.0925,0.05184467,0.03790285,0.0181,0.0286192,0.02796127,0.0173,0.04831706,0.05224374,0.0163,0.109326,0.1075783,0.0573,0.0356475,0.02516872,0.0132,0.1330894,0.1368166,0.0664,0.03696746,0.04507739,0.0165,0.02609216,0.02761144,0.0178,0.04258491,0.04412604,0.0164,0.04857221,0.04272205,0.0102,0.05622999,0.06481331,0.0248,0.01824506,0.01406041,0.0126,0.0296101,0.03301787,0.019,0.06394139,0.06584612,0.0212,0.06829076,0.04570512,0.025,0.1778134,0.1560504,0.173,0.05223392,0.03992997,0.0165,0.02969107,0.01915162,0.0212,0.04226149,0.03809901,0.0191,0.05200477,0.05295746,0.026,0.07075433,0.06193624,0.0176,0.04233988,0.0686709,0.0265,0.03998487,0.06236107,0.0274,0.04682573,0.04919127,0.0191,0.08253384,0.098612,0.0635,0.05183676,0.06221573,0.0132,0.1053819,0.1102939,0.0423,0.04281372,0.03556715,0.0154,0.2783601,0.2858758,0.183,0.04298485,0.04223786,0.0136,0.035687,0.04078202,0.0155,0.04371693,0.03262855,0.0209,0.02808484,0.03746478,0.0169,0.0375139,0.0348459,0.0134,0.04309233,0.06561615,0.0204,0.03419563,0.04679941,0.0175,0.02599454,0.03802421,0.0171,0.06343667,0.05150069,0.0131,0.05147147,0.05857164,0.0202,0.02548942,0.02693238,0.0137,0.03824661,0.04690644,0.0273,0.0340418,0.04284863,0.0228,0.05985177,0.05136031,0.017,0.1300603,0.1565462,0.0885,0.2252986,0.1665715,0.188,0.1379776,0.1347112,0.117,0.03553424,0.03987569,0.0124,0.07630688,0.09032503,0.11,0.06819679,0.0450748,0.036,0.04752994,0.04523035,0.0388,0.04334301,0.0417698,0.0409,0.07789011,0.08695689,0.052,0.04980117,0.0361009,0.0198,0.0607296,0.04972696,0.0254,0.05069769,0.04103639,0.0387,0.03725456,0.02758101,0.0207,0.02549944,0.01882421,0.0129,0.03386743,0.03109787,0.0189,0.06736565,0.04302493,0.026,0.04015978,0.04288222,0.0158,0.08278436,0.06180079,0.0404,0.0286356,0.03735485,0.0134,0.04757049,0.04728919,0.0192,0.09333312,0.08114993,0.116,0.01948488,0.01261353,0.00909,0.2533648,0.1862678,0.0835,0.1027873,0.1685836,0.0739,0.01822851,0.01782875,0.00758,0.099604,0.08789141,0.0236,0.04507226,0.05416228,0.0251,0.1014686,0.1008351,0.0484,0.02865964,0.02457967,0.00794,0.1794254,0.1333556,0.0581,0.2022448,0.1669035,0.165,0.09031619,0.08466291,0.0561,0.04340328,0.06065124,0.0365,0.05964865,0.05006885,0.0233,0.05410521,0.03910539,0.0332,0.01429546,0.01122815,0.00353
