
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-12


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.0
Magnitude Max:, 9.0
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, 20.0
D9-95 Max (sec):, 60.0
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
50, SRSS, 864, -, 1.0, -, 21.7, 27.1, 2.3, "Landers", 1992, "Joshua Tree", 7.28, strike slip, 11.03, 11.03, 379.32, 0.07, 1.0, RSN864_LANDERS_JOS000.AT2, RSN864_LANDERS_JOS090.AT2 , RSN864_LANDERS_JOS-UP.AT2  
51, SRSS, 865, -, 1.0, -, 23.8, 36.6, 0.1, "Landers", 1992, "LA - 116th St School", 7.28, strike slip, 164.36, 164.36, 301.0, 0.07, 1.0, RSN865_LANDERS_116000.AT2, RSN865_LANDERS_116090.AT2 , RSN865_LANDERS_116-UP.AT2  
52, SRSS, 866, -, 1.0, -, 19.1, 27.2, 0.1, "Landers", 1992, "LA - E Vernon Ave", 7.28, strike slip, 157.69, 157.69, 283.14, 0.06, 1.0, RSN866_LANDERS_VER090.AT2, RSN866_LANDERS_VER180.AT2 , RSN866_LANDERS_VER-UP.AT2  
53, SRSS, 867, -, 1.0, -, 20.2, 30.5, 0.1, "Landers", 1992, "LA - Fletcher Dr", 7.28, strike slip, 153.04, 153.04, 329.06, 0.13, 1.0, RSN867_LANDERS_FLE144.AT2, RSN867_LANDERS_FLE234.AT2 , RSN867_LANDERS_FLE-UP.AT2  
54, SRSS, 868, -, 1.0, -, 16.9, 23.7, 0.0, "Landers", 1992, "LA - N Figueroa St", 7.28, strike slip, 148.7, 148.7, 364.91, 0.4, 1.0, RSN868_LANDERS_FIG058.AT2, RSN868_LANDERS_FIG328.AT2 , RSN868_LANDERS_FIG-UP.AT2  
55, SRSS, 869, -, 1.0, -, 16.5, 24.0, 0.1, "Landers", 1992, "LA - N Westmoreland", 7.28, strike slip, 159.13, 159.13, 315.06, 0.08, 1.0, RSN869_LANDERS_WST000.AT2, RSN869_LANDERS_WST270.AT2 , RSN869_LANDERS_WST-UP.AT2  
56, SRSS, 870, -, 1.0, -, 23.5, 46.0, 0.1, "Landers", 1992, "LA - Obregon Park", 7.28, strike slip, 151.7, 151.7, 349.43, 0.07, 1.0, RSN870_LANDERS_OBR000.AT2, RSN870_LANDERS_OBR090.AT2 , RSN870_LANDERS_OBR-UP.AT2  
57, SRSS, 871, -, 1.0, -, 19.7, 28.2, 0.0, "Landers", 1992, "LA - S Grand Ave", 7.28, strike slip, 161.56, 161.56, 285.28, 0.06, 1.0, RSN871_LANDERS_GR2090.AT2, RSN871_LANDERS_GR2180.AT2 , RSN871_LANDERS_GR2-UP.AT2  
58, SRSS, 872, -, 1.0, -, 24.4, 37.7, 0.1, "Landers", 1992, "LA - W 15th St", 7.28, strike slip, 160.99, 160.99, 329.52, 0.08, 1.0, RSN872_LANDERS_W15090.AT2, RSN872_LANDERS_W15180.AT2 , RSN872_LANDERS_W15-UP.AT2  
59, SRSS, 873, -, 1.0, -, 18.3, 27.2, 0.1, "Landers", 1992, "LA - W 70th St", 7.28, strike slip, 163.96, 163.96, 241.41, 0.07, 1.0, RSN873_LANDERS_W70000.AT2, RSN873_LANDERS_W70270.AT2 , RSN873_LANDERS_W70-UP.AT2  
60, SRSS, 874, -, 1.0, -, 21.7, 27.7, 0.2, "Landers", 1992, "LB - Orange Ave", 7.28, strike slip, 160.85, 160.85, 344.72, 0.05, 1.0, RSN874_LANDERS_OR2010.AT2, RSN874_LANDERS_OR2280.AT2 , RSN874_LANDERS_OR2-UP.AT2  
61, SRSS, 875, -, 1.0, -, 22.2, 30.6, 0.0, "Landers", 1992, "La Crescenta - New York", 7.28, strike slip, 148.47, 148.47, 411.55, 0.1, 1.0, RSN875_LANDERS_NYA090.AT2, RSN875_LANDERS_NYA180.AT2 , RSN875_LANDERS_NYA-UP.AT2  
62, SRSS, 876, -, 1.0, -, 18.4, 25.6, 0.1, "Landers", 1992, "La Habra - Briarcliff", 7.28, strike slip, 143.12, 143.12, 338.27, 0.06, 1.0, RSN876_LANDERS_BRC000.AT2, RSN876_LANDERS_BRC090.AT2 , RSN876_LANDERS_BRC-UP.AT2  
63, SRSS, 877, -, 1.0, -, 19.9, 28.7, 0.1, "Landers", 1992, "La Puente - Rimgrove Av", 7.28, strike slip, 132.08, 132.08, 339.52, 0.13, 1.0, RSN877_LANDERS_RIM015.AT2, RSN877_LANDERS_RIM105.AT2 , RSN877_LANDERS_RIM-UP.AT2  
64, SRSS, 878, -, 1.0, -, 21.8, 28.0, 0.2, "Landers", 1992, "Lakewood - Del Amo Blvd", 7.28, strike slip, 157.41, 157.41, 267.35, 0.04, 1.0, RSN878_LANDERS_DEL000.AT2, RSN878_LANDERS_DEL090.AT2 , RSN878_LANDERS_DEL-UP.AT2  
65, SRSS, 880, -, 1.0, -, 30.5, 40.8, 0.4, "Landers", 1992, "Mission Creek Fault", 7.28, strike slip, 26.96, 26.96, 355.42, 0.1625, 1.0, RSN880_LANDERS_MCF000.AT2, RSN880_LANDERS_MCF090.AT2 , RSN880_LANDERS_MCF-UP.AT2  
66, SRSS, 881, -, 1.0, -, 19.1, 31.9, 1.2, "Landers", 1992, "Morongo Valley Fire Station", 7.28, strike slip, 17.36, 17.36, 396.41, 0.25, 1.0, RSN881_LANDERS_MVH045.AT2, RSN881_LANDERS_MVH135.AT2 , RSN881_LANDERS_MVH-UP.AT2  
67, SRSS, 882, -, 1.0, -, 25.3, 37.9, 0.7, "Landers", 1992, "North Palm Springs", 7.28, strike slip, 26.84, 26.84, 344.67, 0.05, 1.0, RSN882_LANDERS_FHS000.AT2, RSN882_LANDERS_FHS090.AT2 , RSN882_LANDERS_FHS-UP.AT2  
68, SRSS, 883, -, 1.0, -, 27.8, 35.4, 0.1, "Landers", 1992, "Northridge - 17645 Saticoy St", 7.28, strike slip, 172.32, 172.32, 280.86, 0.1, 1.0, RSN883_LANDERS_STC090.AT2, RSN883_LANDERS_STC180.AT2 , RSN883_LANDERS_STC-UP.AT2  
69, SRSS, 884, -, 1.0, -, 26.2, 38.9, 0.4, "Landers", 1992, "Palm Springs Airport", 7.28, strike slip, 36.15, 36.15, 312.47, 0.07, 1.0, RSN884_LANDERS_PSA000.AT2, RSN884_LANDERS_PSA090.AT2 , RSN884_LANDERS_PSA-UP.AT2  
70, SRSS, 885, -, 1.0, -, 17.9, 28.2, 0.2, "Landers", 1992, "Pomona - 4th & Locust FF", 7.28, strike slip, 117.5, 117.5, 384.44, 0.12, 1.0, RSN885_LANDERS_PMN000.AT2, RSN885_LANDERS_PMN090.AT2 , RSN885_LANDERS_PMN-UP.AT2  
71, SRSS, 886, -, 1.0, -, 25.3, 33.9, 0.1, "Landers", 1992, "Puerta La Cruz", 7.28, strike slip, 94.48, 94.48, 442.7, 0.3, 1.0, RSN886_LANDERS_PLC000.AT2, RSN886_LANDERS_PLC090.AT2 , RSN886_LANDERS_PLC-UP.AT2  
72, SRSS, 887, -, 1.0, -, 18.6, 27.8, 0.1, "Landers", 1992, "Riverside Airport", 7.28, strike slip, 96.0, 96.0, 389.95, 0.16, 1.0, RSN887_LANDERS_RIV180.AT2, RSN887_LANDERS_RIV270.AT2 , RSN887_LANDERS_RIV-UP.AT2  
